title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
The Walker (2007)	Paul (I) Schrader	5.9	4647	2007	Crime	77177	10000000	108	Woody Harrelson	943	M	Willem Dafoe	1564	M	Kristin Scott Thomas	2341	F	Lauren Bacall	2806	F	Lily Tomlin	2985	F	Ned Beatty	5384	M	Carter Page III holds a special place in Washington society: the gay son and grandson of powerful men he has connections manners and he's no threat so he's an available escort when a woman's husband would rather not accompany her to a public event. When the secret lover of one of his women friends is murdered she asks Carter to cover for her and his acquiescence gets him into immediate trouble with the police and an ambitious prosecutor. Carter with the help of his lover Emek starts his own investigation. They're warned off by someone's hired muscle. Can Carter figure out what happened or will he lose more than he realizes he has? Human behavior is a mystery.
Chasing Papi (2003)	Linda (I) Mendoza	4.8	3446	2003	Comedy	6531140	9000000	80	Roselyn Sanchez	1639	F	Maria Conchita Alonso	2844	F	Nicole Scherzinger	3002	F	Diana Maria Riva	4367	F	Ian Gomez	5105	M	Bryce Johnson	5340	M	The successful and handsome wolf executive of the cosmetic industry Thomas Fuentes has three sexy Latin girlfriends: in Miami the waitress Cici; in Chicago the intellectual lawyer Lorena; and in New York the "daddy's girl" Patricia. When the three women decide to visit him in Los Angeles Thomas is in a big trouble.
Wrestling Ernest Hemingway (1993)	Randa Haines	7.1	2464	1993	Drama	231700	4500000	123	Sandra Bullock	396	F	Richard Harris	996	M	Robert Duvall	1985	M	Shirley MacLaine	2890	F	Piper Laurie	2940	F	Adam Arkin	4969	M	Frank a retired Irish seaman and Walter a retired Cuban barber are two lonely old men trapped in the emptiness of their own lives. When they meet in a park Frank is able to start a conversation after several attempts. They begin to spend time together and become friends. But because of their different characters they often quarrel with each other and finally seperate after Frank misbehaves to Walter's friend Elaine.
The Second Best Exotic Marigold Hotel (2015)	John (I) Madden	6.6	23184	2015	Comedy	33071558	10000000	122	Richard Gere	1368	M	Bill Nighy	1586	M	Dev Patel	1644	M	Judi Dench	2282	F	David Strathairn	3520	M	Celia Imrie	3584	F	The Second Best Exotic Marigold Hotel is the expansionist dream of Sonny (Dev Patel) and it's making more claims on his time than he has available considering his imminent marriage to the love of his life Sunaina (Tina Desai). Sonny has his eye on a promising property now that his first venture The Best Exotic Marigold Hotel for the Elderly and Beautiful has only a single remaining vacancy - posing a rooming predicament for fresh arrivals Guy (Richard Gere) and Lavinia (Tamsin Greig). Evelyn and Douglas (Judi Dench and Bill Nighy) have now joined the Jaipur workforce and are wondering where their regular dates for Chilla pancakes will lead while Norman and Carol (Ronald Pickup and Diana Hardcastle) are negotiating the tricky waters of an exclusive relationship as Madge (Celia Imrie) juggles two eligible and very wealthy suitors. Perhaps the only one who may know the answers is newly installed co-manager of the hotel Muriel (Maggie Smith) the keeper of everyone's secrets. As the demands of a traditional Indian wedding threaten to engulf them all an unexpected way forward presents itself.
The Story of Us (1999)	Rob Reiner	5.9	18542	1999	Comedy	27067160	50000000	95	Bruce Willis	377	M	Michelle Pfeiffer	485	F	Rob Reiner	3053	M	Tim Matheson	3140	M	Paul Reiser	5562	M	Julie Hagerty	6560	F	Two jilted lovers spend fifteen years of marriage together only to find that they might no longer love each other. In this time they have two children and go through the various (dramatic and comical) events that take place in an average marriage.
Stakeout (1987)	John Badham	6.6	19132	1987	Comedy	65673233	14500000	117	Richard Dreyfuss	1356	M	Emilio Estevez	1737	M	Forest Whitaker	1800	M	Aidan Quinn	1958	M	Madeleine Stowe	1990	F	Dan Lauria	6582	M	The film opens with a daring escape of a convict imprisoned for killing an FBI agent then moves on to two Seattle detectives chasing a suspect who gets away destroying a forklift in the process these two detectives are reassigned to a stakeout watching the girlfriend of the escaped federal prisoner. One falls in love with her the escaped convict eventually catches up to her with them actually and in the midst of their getaway the escaped convict learns that his woman's man is a cop but the two detectives kill him saving the day.
Legend of the Guardians: The Owls of Ga'Hoole (2010)	Zack Snyder	7	66538	2010	Action	140073390	80000000	101	Joel Edgerton	392	M	Essie Davis	767	F	Hugo Weaving	868	M	Sam Neill	1192	M	Abbie Cornish	1342	F	Geoffrey Rush	1529	M	Soren a young barn owl is kidnapped by owls of St. Aggie's ostensibly an orphanage where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole to assist its noble wise owls who fight the army being created by the wicked rulers of St. Aggie's.
Thirteen Conversations About One Thing (2001)	Jill Sprecher	7.1	8655	2001	Drama	3706652	4500000	104	Matthew McConaughey	62	M	Elizabeth Reaser	850	F	John Turturro	1451	M	Clea DuVall	1880	F	Rob McElhenney	3847	M	Deirdre Lovejoy	4015	F	A physics professor approaching middle age decides to change his life with unexpected results. A rising young prosecuting attorney's plans are thrown into disarray as the result of a single careless act while distracted. A woman reluctantly faces her husband's infidelity. An envious insurance claims manager with family problems seeks revenge on a cheerful coworker but has second thoughts. And an optimistic young cleaning woman awaits a miracle only to have her faith shaken by a traumatic event. These ordinary people all find themselves asking the fundamental question philosophers have pondered throughout history: What is happiness and how does one achieve it?
S.W.A.T. (2003)	Clark (I) Johnson	6	120928	2003	Action	207725639	80000000	117	Colin Farrell	427	M	Jeremy Renner	562	M	Samuel L. Jackson	581	M	Josh Charles	2031	M	Colin Egglesfield	2731	M	Octavia Spencer	3215	F	Based off of a one time T.V. show two Los Angeles S.W.A.T. officers Jim Street and Brian Gamble were sent in to foil an extremely violent bank robbery. Although they thwarted the robbery they shot a hostage in the process. Street was suspended from S.W.A.T. while Gamble was fired altogether. After 6 months a veteran S.W.A.T. officer Daniel Harrelson or "Hondo" is told to assemble a S.W.A.T. team for his division. He chooses other S.W.A.T. officers as well as 3 rookies. However after they pass the S.W.A.T. training they receive a message that a French crime boss known as Alex Montell is trying to escape from prison. This will not be easy to prevent especially after Montell promises $100 Million to his rescuers.
Edward Scissorhands (1990)	Tim (I) Burton	7.9	363533	1990	Drama	86024005	20000000	105	Johnny Depp	28	M	Winona Ryder	30	F	Vincent Price	1096	M	Anthony Michael Hall	1612	M	Dianne Wiest	1779	F	Susan Blommaert	3324	F	In a castle high on top of a hill lives an inventor's greatest creation - Edward a near-complete person. The creator died before he could finish Edward's hands; instead he is left with metal scissors for hands. Since then he has lived alone until a kind lady called Peg discovers him and welcomes him into her home. At first everyone welcomes him into the community but soon things begin to take a change for the worse.
Quills (2000)	Philip (I) Kaufman	7.4	45151	2000	Biography	17989227	13500000	124	Kate Winslet	492	F	Joaquin Phoenix	893	M	Amelia Warner	1208	F	Geoffrey Rush	1529	M	Michael Caine	1633	M	Stephen Moyer	2610	M	The infamous writer the Marquis de Sade of 18th Century France is imprisoned at Charenton Insane Asylum for unmentionable activities. He manages to befriend the young Abbé de Coulmier who runs the asylum along with a beautiful laundress named Madeline. Things go terribly wrong when the Abbe finds out that the Marquis' books are being secretly published. The emperor Napoleon contemplates sending Dr. Royer-Collard to oversee the asylum a man famed for his torturous punishments. It could mean the end of Charenton and possibly the Marquis himself.
Demonic (2015)	Will Canon	5.3	7971	2015	Horror	3387774	3000000	83	Maria Bello	312	F	Frank Grillo	962	M	Dustin Milligan	3094	M	Cody Horn	3379	F	Aaron Yoo	4647	M	Christopher Berry	5399	M	In LouisiannaDetective Mark Lewis is summoned to attend a call from the notorious Livingston House and he finds three bodies and one survivor John who is in shock. He calls for backup and also the police psychologist Dr. Elizabeth Klein to interrogate John. They learn that the team of ghost-busters Bryan John's pregnant girlfriend Michelle Jules Donnie and Sam decided to perform a séance in the house where the owner Marta Livingstone had committed a violent slaughter to summon their spirits. The séance went wrong and released evil spirits that killed Jules Donnie and Sam; however Michelle and Bryan are missing. While Elizabeth interrogates John Mark and the technical team tries to retrieve the hard disks with the footages from the house to find where the other two survivors may be Detective Lewis discloses a dark supernatural secret about John.
A Beautiful Mind (2001)	Ron (I) Howard	8.2	624867	2001	Biography	313542341	58000000	135	Bryce Dallas Howard	13	F	Jennifer Connelly	229	F	Ed Harris	256	M	Ron Howard	289	M	Russell Crowe	633	M	Paul Bettany	1051	M	From the heights of notoriety to the depths of depravity John Forbes Nash Jr. experienced it all. A mathematical genius he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle he eventually triumphed over his tragedy and finally - late in life - received the Nobel Prize.
Unfinished Business (2015/I)	Ken (V) Scott	5.4	23859	2015	Comedy	10214013	35000000	91	James Marsden	226	M	Dave Franco	245	M	Vince Vaughn	484	M	Sienna Miller	838	F	June Diane Raphael	2482	F	Nick Frost	3060	M	A hard-working small business owner (Vince Vaughn) and his two associates (Tom Wilkinson Dave Franco) travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every imaginable - and unimaginable - way including unplanned stops at a massive sex fetish event and a global economic summit.
The Boondock Saints II: All Saints Day (2009)	Troy Duffy	6.3	53818	2009	Action	10244070	8000000	138	Norman Reedus	63	M	Clifton Collins Jr.	404	M	Julie Benz	784	F	Sean Patrick Flanery	1517	M	Willem Dafoe	1564	M	Judd Nelson	2588	M	For the last 8 years the brothers have been living with their father on a sheep farm deep in isolated Ireland. One day their uncle tells them that they have been framed for the murder of a Bostonian Catholic priest. The boys must return to Boston to not only clear their names but find the men who framed them.
National Lampoon's Christmas Vacation (1989)	Jeremiah S. Chechik	7.6	106872	1989	Comedy	71320000	27000000	97	Johnny Galecki	1090	M	Brian Doyle-Murray	1597	M	Julia Louis-Dreyfus	1871	F	Chevy Chase	1931	M	Randy Quaid	3488	M	William Hickey	3930	M	It's Christmas time and the Griswolds are preparing for a family seasonal celebration but things never run smoothly for Clark his wife Ellen and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests but he manages to keep going knowing that his Christmas bonus is due soon.
Two Night Stand (2014)	Max (I) Nichols	6.4	47272	2014	Comedy	15600	1600000	86	Miles Teller	298	M	Analeigh Tipton	676	F	Joey Lauren Adams	1760	F	Leven Rambin	2512	F	Jessica Szohr	2581	F	Scott Mescudi	8054	M	After an extremely regrettable one night stand two strangers wake up to find themselves snowed in after sleeping through a blizzard that put all of Manhattan on ice. They're now trapped together in a tiny apartment forced to get to know each other way more than any one night stand should.
American History X (1998)	Tony (I) Kaye	8.6	797422	1998	Crime	23875127	7500000	101	Fairuza Balk	418	F	Edward Norton	664	M	Ethan Suplee	1024	M	Edward Furlong	1622	M	Jennifer Lien	3365	F	Christopher Masterson	3421	M	Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother Danny Vineyard's narration we learn that before going to prison Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.
Dinner for Schmucks (2010)	Jay Roach	5.9	81234	2010	Comedy	86855739	69000000	114	Paul Rudd	579	M	Zach Galifianakis	921	M	Jemaine Clement	1012	M	Nick Kroll	1069	M	Steve Carell	1072	M	Kristen Schaal	1253	F	Tim (Rudd) is a rising executive who "succeeds" in finding the perfect guest IRS employee Barry (Carell) for his boss's monthly event a so-called "dinner for idiots" which offers certain advantages to the exec who shows up with the biggest buffoon.
American Pie 2 (2001)	J.B. Rogers	6.4	202608	2001	Comedy	287553595	30000000	105	JoAnna Garcia Swisher	714	F	Mena Suvari	778	F	Casey Affleck	858	M	Tara Reid	971	F	Alyson Hannigan	1056	F	Natasha Lyonne	1347	F	The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen even if the preparation doesn't always go to plan. Especially when Stifler Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant.
Up (2009)	Pete Docter	8.3	681475	2009	Adventure	731342744	175000000	96	Christopher Plummer	1860	M	John Ratzenberger	3294	M	Edward Asner	4363	M	Delroy Lindo	6718	M	Jess Harnell	6932	M	Bob Peterson	7757	M	Carl Fredricksen as a boy wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with a Boy Scout named Russel with help from 500 balloons. On their journey they discover many new friends including a talking dog and Carl and Russel figure out that someone evil plans. Carl soon realizes that this evildoer is his childhood idol. Will they be able to defeat him and will they find Paradise Falls? Carl Fredricksen a 78-year-old balloon salesman is about to fulfill a lifelong dream. Tying thousands of balloons to his house he flies away to the South American wilderness. But curmudgeonly Carl's worst nightmare comes true when he discovers a little boy named Russell is a stowaway aboard the balloon-powered house.
Cinderella Man (2005)	Ron (I) Howard	8	150055	2005	Biography	108539911	88000000	144	Russell Crowe	633	M	Rosemarie DeWitt	1504	F	Clint Howard	1747	M	Paul Giamatti	2079	M	Bruce McGill	4308	M	Paddy Considine	5426	M	During the Great Depression a common-man hero James J. Braddock--a.k.a. the Cinderella Man--was to become one of the most surprising sports legends in history. By the early 1930s the impoverished ex-prizefighter was seemingly as broken-down beaten-up and out-of-luck as much of the rest of the American populace who had hit rock bottom. His career appeared to be finished he was unable to pay the bills the only thing that mattered to him--his family--was in danger and he was even forced to go on Public Relief. But deep inside Jim Braddock never relinquished his determination. Driven by love honor and an incredible dose of grit he willed an impossible dream to come true. In a last-chance bid to help his family Braddock returned to the ring. No one thought he had a shot. However Braddock fueled by something beyond mere competition kept winning. Suddenly the ordinary working man became the mythic athlete. Carrying the hopes and dreams of the disenfranchised on his shoulders Braddock rocketed through the ranks until this underdog chose to do the unthinkable: take on the heavyweight champ of the world the unstoppable Max Baer renowned for having killed two men in the ring.
The Words (2012)	Brian Klugman	7.1	60810	2012	Drama	13231461	6000000	102	Zoe Saldana	121	F	Ben Barnes	277	M	Olivia Wilde	385	F	Bradley Cooper	507	M	J.K. Simmons	810	M	Jeremy Irons	1190	M	Layered romantic drama The Words follows young writer Rory Jansen who finally achieves long sought after literary success after publishing the next great American novel. There's only one catch - he didn't write it. As the past comes back to haunt him and his literary star continues to rise Jansen is forced to confront the steep price that must be paid for stealing another man's work and for placing ambition and success above life's most fundamental three words.
Shakes the Clown (1991)	Bobcat Goldthwait	5.6	3792	1991	Comedy	115103	1400000	87	Adam Sandler	400	M	Robin Williams	795	M	Bobcat Goldthwait	2814	M	Tom Kenny	4016	M	Joel Murray	4632	M	Blake Clark	9462	M	Shakes plods about his duties as party clown and uses all of his free time getting seriously drunk. Binky another clown wins the spot on a local kiddie show which depresses Shakes even more and his boss threatens him with unemployment if he can't get his act under control. When someone murders Shakes' boss and makes it look like Shakes did it he goes undercover posing as a hated mime and tries to find information that will clear his name.
Anna Karenina (1997)	Bernard Rose	6.4	4659	1997	Drama	791830	35000000	108	Sean Bean	1070	M	Justine Waddell	1698	F	Mia Kirshner	1772	F	Sophie Marceau	2102	F	Danny Huston	2226	M	Alfred Molina	3023	M	Anna is a young and elegant wife of Mr. Karenin who is wealthy and old. She meets the handsome Count Vronsky. Anna and Vronsky fall in love with each other and he comes to be with her in St. Petersburg. They are very happy together and make a great looking couple but soon their happiness gets under social pressures. Anna is hopelessly begging Mr. Karenin for a divorce but he wants to keep the mother of their child. She has another baby born from her lover Vronsky. Conflict between her untamed desires and painful reality causes her a depression and suicidal thoughts.
The Prince of Egypt (1998)	Brenda (I) Chapman	7	92413	1998	Adventure	218613188	70000000	99	Val Kilmer	132	M	Sandra Bullock	396	F	Michelle Pfeiffer	485	F	Ralph Fiennes	512	M	Patrick Stewart	1165	M	Steve Martin	1225	M	This is the extraordinary tale of two brothers named Moses and Ramses one born of royal blood and one an orphan with a secret past. Growing up the best of friends they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds as one becomes the ruler of the most powerful empire on earth and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.
Rock Star (2001)	Stephen Herek	6.2	34933	2001	Drama	19334145	57000000	105	Jennifer Aniston	177	F	Mark Wahlberg	398	M	Timothy Olyphant	715	M	Dominic West	1314	M	Dagmara Dominczyk	2632	F	Timothy Spall	2654	M	Chris Cole was born to rock. His longtime girlfriend Emily believes his talent could take him all the way - but Chris worships at the altar of Bobby Beers the fiery frontman for heavy metal legends Steel Dragon. By day Chris still lives at home with his parents and spends his days repairing copy machines. But when Chris takes the stage fronting Pennsylvania's premiere Steel Dragon tribute band all of that disappears. Chris Cole is Bobby Beers - mesmerizing audiences with his perfect imitation of Beers' electrifying vocals. The night his bandmates boot him out of the group Chris is devastated - until an unexpected phone call changes his life forever: He Chris Cole has been tapped to replace Bobby Beers as the lead singer of Steel Dragon. In an instant Chris rockets to the dizzying heights of sudden stardom rising from devotee to icon from rock fan to rock god - the wanna-be who got to be. So what happens when an average guy gets everything he wants - and discovers it's not enough?
Alien Nation (1988)	Graham (I) Baker	6.3	11480	1988	Action	32155047	16000000	91	Jeff Kober	1168	M	Mandy Patinkin	1722	M	James Caan	1790	M	Terence Stamp	2540	M	Brian Thompson	3860	M	Frank Collison	7001	M	A few years from now Earth will have the first contact with an alien civilisation. These aliens known as Newcomers slowly begin to be integrated into human society after years of quarantine but are victims of a new type of discrimination. When the first Newcomer police officer Sam Francisco is assigned his new partner he is given Matthew Sykes  a mildly racist veteran the animosity between them soon gives way to respect as they investigate the Newcomer underworld and especially Newcomer leader William Harcourt.
Cop Out (2010)	Kevin (I) Smith	5.6	75972	2010	Action	55909910	37000000	107	Bruce Willis	377	M	Michelle Trachtenberg	772	F	Rashida Jones	967	F	Ana de la Reguera	1507	F	Adam Brody	1532	M	Jason Lee	1568	M	After a clumsy operation trying to capture a drug dealer the N.Y.P.D Detectives Jimmy Monroe and Paul Hodges are suspended for one month by their Captain Romans. Jimmy decides to sell his rare baseball card to pay for his daughter's expensive wedding while his jealous partner believes that his wife is cheating on him with their next-door neighbor. When Jimmy sells his card to a memorabilia store the place is burgled by two small-time thieves and the detective loses his card. They track down the thieves.
The Apostle (1997)	Robert Duvall	7.2	11695	1997	Drama	21294343	5000000	89	Billy Bob Thornton	433	M	Walton Goggins	1406	M	Robert Duvall	1985	M	Farrah Fawcett	2317	F	James Gammon	5858	M	Kevin Rankin	6863	M	Eulis 'Sonny' Dewey is a preacher from Texas living a happy life with his beautiful wife Jessie. Suddenly his stable world crumbles: Jessie is having an affair with young minister Horace. Sonny gets enraged and hits Horace with a softball bat putting him into a coma. After that he leaves town takes a new name 'Apostle E.F.' and goes to Louisiana. There he starts to work as a mechanic for local radio station owner Elmo and Elmo lets him preach on the radio. E.F. starts to preach everywhere: on the radio on the streets and with his new friend Reverend Blackwell he starts a campaign to renovate an old church.
That's My Boy (2012)	Sean Anders	5.6	71705	2012	Comedy	58058367	70000000	116	Milo Ventimiglia	23	M	Adam Sandler	400	M	Susan Sarandon	524	F	Leighton Meester	834	F	Andy Samberg	1151	M	Eva Amurri Martino	1709	F	While still in his teens Donny (Adam Sandler) fathered a son Todd (Andy Samberg) and raised him as a single parent up until Todd's 18th birthday. Now after not seeing each other for years Todd's world comes crashing down on the eve of his wedding when an uninvited Donny suddenly shows up. Trying desperately to reconnect with his son Donny is now forced to deal with the repercussions of his bad parenting skills.
Dangerous Minds (1995)	John N. Smith	6.4	38800	1995	Biography	179519401	23000000	99	Michelle Pfeiffer	485	F	Danny Strong	3312	M	Courtney B. Vance	5515	M	Lorraine Toussaint	6290	F	Ivan Sergei	7199	M	Camille Winbush	7351	F	Louanne Johnson is an ex-marine hired as a teacher in a high-school in a poor area of the city. She has recently separated from her husband. Her friend also teacher in the school got the temporary job for her. After a terrible reception from the students she tries unconventional methods of teaching (using karate Bob Dylan lyrics etc) to gain the trust of the students.
Wing Commander (1999)	Chris (II) Roberts	4.1	14846	1999	Action	11576087	30000000	100	Mark Hamill	763	M	Matthew Lillard	1129	M	Freddie Prinze Jr.	1305	M	Saffron Burrows	2476	F	David Warner	3558	M	David Suchet	4829	M	In the mid-27th century the Terran Confederation is at war with the felinoid Kilrathi Empire. After destroying a Terran base the Kilrathi have seized a NAVCOM unit with the hyperspace jump coordinates to Earth. With Terran reinforcements scheduled to arrive two hours after the Kilrathi hit Earth it falls upon the starfighter carrier TCS Tiger Claw to keep the Kilrathi busy.
Hanna's War (1988)	Menahem Golan	6.2	299	1988	Biography	139796	20000000	148	Donald Pleasence	867	M	Ellen Burstyn	1721	F	David Warner	3558	M	Rade Serbedzija	5948	M	Denholm Elliott	8927	M	Ingrid Pitt	9320	F	At the beginning of World War Two a Hungarian Jew living in British Palestine volunteers to parachute behind enemy lines in German-occupied Yugoslavia to save fellow Jews from deportation to Nazi Death Camps. After she enlisted in the British Army she trained in Egypt as a paratrooper for the British Special Operations Executive. In the Spring of 1944 Hannah and a few colleagues were parachuted into Yugoslavia and joined a partisan group. Despite warnings against venturing into German-occupied Hungary Hannah insisted that she continue her mission. Arrested at the Hungarian border Hannah and her companions are sent to a special prison where she is interrogated under torture. However Hannah refuses to reveal little more than her name.
The Big Year (2011)	David (I) Frankel	6.2	35245	2011	Comedy	7204138	41000000	100	Rosamund Pike	72	F	Anjelica Huston	286	F	Rashida Jones	967	F	Jack Black	985	M	Jim Parsons	1082	M	Joel McHale	1132	M	In birding a Big Year is seeing or hearing as many different species of birds as possible in a calendar year. Three men pursue the Birder of the Year title: Kenny Bostick who's seen a record 732 in a past big year Stu Preissler newly retired and Brad Harris who narrates the story. Life gets in the way: Bostick's wife wants a baby Stu's firm needs him for sensitive negotiations and Brad divorced and underemployed at 36 has an encouraging mom and a disapproving dad. They criss-cross the continent (including a trip to Alaska's westernmost island) follow migration patterns and head for storms that force birds to ground. Who will win at what cost and with what rewards?
The Finest Hours (2016)	Craig (I) Gillespie	6.8	34427	2016	Action	15265660	80000000	117	Chris Pine	108	M	Ben Foster	134	M	Holliday Grainger	487	F	Casey Affleck	858	M	Eric Bana	1463	M	Kyle Gallner	1499	M	In February of 1952 one of the worst storms to ever hit the East Coast struck New England damaging an oil tanker off the coast of Cape Cod and literally ripping it in half. On a small lifeboat faced with frigid temperatures and 70-foot high waves four members of the Coast Guard set out to rescue the more than 30 stranded sailors trapped aboard the rapidly-sinking vessel.
The Birdcage (1996)	Mike (I) Nichols	7	63215	1996	Comedy	185260553	31000000	117	Robin Williams	795	M	Christine Baranski	1148	F	Calista Flockhart	1182	F	Gene Hackman	1519	M	Dianne Wiest	1779	F	Hank Azaria	2882	M	Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover Albert stars there as Starina. "Their" son Val (actually Armand's by his one heterosexual fling twenty years before) comes home to announce his engagement to Barbara Keeley daughter of Kevin Keeley US Senator and co-founder of the Committee for Moral Order. The Senator and family descend upon South Beach to meet Val his father and "mother." What ensues is comic chaos.
30 Days of Night (2007)	David (I) Slade	6.6	140254	2007	Horror	80276156	32000000	113	Ben Foster	134	M	Josh Hartnett	602	M	Manu Bennett	1116	M	Danny Huston	2226	M	Joel Tobeck	3196	M	Mark Boone Junior	3517	M	This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.
The Good German (2006)	Steven Soderbergh	6.1	21660	2006	Drama	5914908	32000000	105	Cate Blanchett	480	F	Robin Weigert	557	F	George Clooney	682	M	Tobey Maguire	1670	M	Tony Curran	3367	M	Leland Orser	4837	M	Berlin July 1945. Journalist Jake Geismer arrives to cover the Potsdam conference issued a captain's uniform for easier passage. He also wants to find Lena an old flame who's now a prostitute desperate to get out of Berlin. He discovers that the driver he's assigned a cheerful down-home sadist named Corporal Tully is Lena's keeper. When the body of a murdered man washes up in Potsdam (within the Russian sector) Jake may be the only person who wants to solve the crime: U.S. personnel are busy finding Nazis to bring to trial the Russians and the Americans are looking for German rocket scientists and Lena has her own secrets.
Austin Powers: International Man of Mystery (1997)	Jay Roach	7	185461	1997	Comedy	67683989	17000000	89	Christian Slater	753	M	Will Ferrell	786	M	Rob Lowe	880	M	Mike Myers	1159	M	Seth Green	1255	M	Clint Howard	1747	M	Austin Powers is a 60's spy who is cryonically frozen and released in the 1990's. The world is a very different place for Powers. Unfortunately for Austin everyone is no longer sex-mad. Although he may be in a different decade his mission is still the same. He has teamed up with Vanessa Kensington to stop the evil Dr. Evil who was also frozen in the past. Dr. Evil stole a nuclear weapon and is demanding a payment of (when he realises its the 90's) 100 billion dollars. Can Austin Powers stop this madman? or will he caught up with Evil's henchman with names like Alotta Fagina and Random Task? Only time will tell!
Serena (2014/I)	Susanne Bier	5.4	18203	2014	Drama	176305	30000000	109	Bradley Cooper	507	M	Ana Ularu	1599	F	Rhys Ifans	2094	M	Toby Jones	2963	M	Sean Harris	3073	M	Conleth Hill	3898	M	In Depression-era North Carolina the future of George Pemberton's timber empire becomes complicated when he marries Serena.
The Hours (2002)	Stephen Daldry	7.6	103404	2002	Drama	108846072	25000000	114	Toni Collette	213	F	Ed Harris	256	M	Nicole Kidman	415	F	Claire Danes	477	F	Meryl Streep	578	F	Julianne Moore	818	F	In 1951 Laura Brown a pregnant housewife is planning a party for her husband but she can't stop reading the novel 'Mrs. Dalloway'. Clarissa Vaughn a modern woman living in present times is throwing a party for her friend Richard a famous author dying of AIDS. These two stories are simultaneously linked to the work and life of Virginia Woolf who's writing the novel mentioned before.
Scooby-Doo 2: Monsters Unleashed (2004)	Raja Gosnell	4.9	33904	2004	Adventure	181466833	80000000	93	Linda Cardellini	107	F	Sarah Michelle Gellar	424	F	Alicia Silverstone	552	F	Kevin Durand	873	M	Matthew Lillard	1129	M	Seth Green	1255	M	When Mystery Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains: Black Knight Ghost Pterodactyl Ghost and Tar Monster. Could it be that their nemesis mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes? Velma has a crush on the hunk / museum curator Patrick Wisely but why is he acting so suspicious? The Mystery Gang is hard pressed to succeed this time since pesky TV reporter Heather Jasper-Howe insists they are buffoons.
Mona Lisa Smile (2003)	Mike (I) Newell	6.4	62295	2003	Drama	141337989	65000000	117	Krysten Ritter	262	F	Ginnifer Goodwin	273	F	Julia Stiles	356	F	Kirsten Dunst	444	F	Lily Rabe	582	F	Topher Grace	1105	M	Katherine Ann Watson has accepted a position teaching art history at the prestigious Wellesley College. Watson is a very modern woman particularly for the 1950s and has a passion not only for art but for her students. For the most part the students all seem to be biding their time waiting to find the right man to marry. The students are all very bright and Watson feels they are not reaching their potential. Altough a strong bond is formed between teacher and student Watson's views are incompatible with the dominant culture of the college.
She Hate Me (2004)	Spike Lee	5.3	6399	2004	Comedy	365134	8000000	138	Chiwetel Ejiofor	183	M	Monica Bellucci	317	F	Kim Director	863	F	Woody Harrelson	943	M	Ellen Barkin	1364	F	John Turturro	1451	M	Harvard-educated biotech executive John Henry Jack Armstrong gets fired when he informs on his bosses launching an investigation into their business dealings by the Securities & Exchange Commission. Branded a whistle-blower and therefore unemployable Jack desperately needs to make a living. When his former girlfriend Fatima a high powered businesswoman--and now a lesbian--offers him cash to impregnate her and her new girlfriend Alex Jack is persuaded by the chance to make easy money. Word spreads and soon Jack is in the baby-making business at $10000 a try. Lesbians with a desire for motherhood and the cash to spare are lining up to seek his services. But between the attempts by his former employers to frame him for security fraud and his dubious fathering activities Jack finds his life all at once becoming very complicated.
Rent (2005)	Chris Columbus	7	42089	2005	Drama	31670620	40000000	135	Rosario Dawson	354	F	Taye Diggs	1773	M	Sarah Silverman	1953	F	Idina Menzel	2734	F	Jesse L. Martin	4193	M	Anthony Rapp	4537	M	This rock opera tells the story of one year in the life of a group of bohemians struggling in modern day East Village New York. The story centers around Mark and Roger two roommates. While a former tragedy has made Roger numb to life Mark tries to capture it through his attempts to make a film. In the year that follows the group deals with love loss AIDS and modern day life in one truly powerful story.
