title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Big Trouble (2002),Barry Sonnenfeld,6.5,17502,2002,Comedy,7262288,40000000,74,Ben Foster,134,M,Zooey Deschanel,372,F,Rene Russo,1332,F,DJ Qualls,1423,M,Stanley Tucci,1523,M,Jason Lee,1568,M
Dope (2015),Rick Famuyiwa,7.3,59988,2015,Comedy,17474107,7000000,103,Kiersey Clemons,751,F,Keith Stanfield,1041,M,Forest Whitaker,1800,M,Tony Revolori,4625,M,Shameik Moore,4655,M,Blake Anderson,4658,M
Toy Story (1995),John Lasseter,8.3,637686,1995,Adventure,361958736,30000000,81,Tom Hanks,68,M,Annie Potts,1554,F,Tim Allen,1846,M,Laurie Metcalf,2078,F,Wallace Shawn,3050,M,John Ratzenberger,3294,M
Philomena (2013),Stephen Frears,7.6,77401,2013,Biography,100112825,12000000,98,Judi Dench,2282,F,Peter Hermann,2292,M,Michelle Fairley,2906,F,Mare Winningham,2944,F,Steve Coogan,3722,M,Ronald Reagan,4241,M
Justin Bieber: Never Say Never (2011),Jon M. Chu,1.6,74417,2011,Documentary,99036827,13000000,115,Miley Cyrus,1143,F,Jaden Smith,1476,M,Justin Bieber,3088,M,Chelsea Handler,3251,F,Usher Raymond,4072,M,Snoop Dogg,4876,M
Weeds (1987),John D. Hancock,6,694,1987,Drama,2325444,12000000,115,Ernie Hudson,1796,M,Nick Nolte,2245,M,William Forsythe,3922,M,Joe Mantegna,4579,M,Anne Ramsey,6291,F,Mark Rolston,6386,M
In My Sleep (2010),Allen (I) Wolf,5.6,1696,2010,Drama,57190,1000000,104,Abigail Spencer,67,F,Lacey Chabert,106,F,Julia Faye West,1687,F,Bellamy Young,2751,F,Philip Winchester,3200,M,Kirsten Vangsness,3433,F
The Wizard (1989),Todd (I) Holland,6,10743,1989,Adventure,14278900,6000000,96,Christian Slater,753,M,Tobey Maguire,1670,M,Fred Savage,2218,M,Beau Bridges,5017,M,Lee Arenberg,5816,M,Beth Grant,6870,F
Pride and Prejudice and Zombies (2016),Burr Steers,5.8,27870,2016,Action,10907291,28000000,108,Lena Headey,276,F,Matt Smith,360,M,Bella Heathcote,434,F,Sam Riley,837,M,Douglas Booth,1100,M,Jack Huston,1176,M
The Witches of Eastwick (1987),George (II) Miller,6.5,48482,1987,Comedy,63766510,22000000,118,Jack Nicholson,468,M,Michelle Pfeiffer,485,F,Susan Sarandon,524,F,Carel Struycken,1635,M,Veronica Cartwright,2189,F,Richard Jenkins,3872,M
Nowhere Boy (2009),Sam Taylor-Johnson,7.2,29379,2009,Biography,1445366,1235500,98,Aaron Taylor-Johnson,167,M,David Morrissey,801,M,Ophelia Lovibond,981,F,Thomas Brodie-Sangster,1246,M,Kristin Scott Thomas,2341,F,Anne-Marie Duff,3744,F
The Sorcerer's Apprentice (2010),Jon Turteltaub,6.1,126101,2010,Action,215283742,150000000,109,Nicolas Cage,203,M,Monica Bellucci,317,F,Toby Kebbell,339,M,Ian McShane,1201,M,Jay Baruchel,1613,M,Parisa Fitz-Henley,2370,F
Don't Come Knocking (2005),Wim Wenders,6.7,6532,2005,Drama,438732,11000000,113,Fairuza Balk,418,F,Tim Roth,1527,M,Marley Shelton,2145,F,Tim Matheson,3140,M,James Roday,3318,M,Sam Shepard,3523,M
Harlem Nights (1989),Eddie (I) Murphy,5.9,14641,1989,Comedy,95900000,30000000,116,Eddie Murphy,721,M,Charlie Murphy,2657,M,Richard Pryor,4874,M,Stan Shaw,6197,M,Nona Gaye,6842,F,Lela Rochon,7007,F
Mars Attacks! (1996),Tim (I) Burton,6.3,174679,1996,Action,101371017,70000000,106,Natalie Portman,138,F,Sarah Jessica Parker,196,F,Jack Nicholson,468,M,Pierce Brosnan,752,M,Christina Applegate,799,F,Jack Black,985,M
White Squall (1996),Ridley Scott,6.6,18059,1996,Adventure,10300000,38000000,129,Jason Marsden,1034,M,Jeff Bridges,1089,M,Ryan Phillippe,1184,M,Ethan Embry,1370,M,Jeremy Sisto,2373,M,Scott Wolf,3249,M
The Goods: Live Hard Sell Hard (2009),Neal Brennan,5.8,17900,2009,Comedy,15102127,10000000,89,Kathryn Hahn,279,F,Will Ferrell,786,M,T.J. Miller,1045,M,Kristen Schaal,1253,F,James Brolin,1304,M,Noureen DeWulf,1777,F
Haywire (2011),Steven Soderbergh,5.8,73215,2011,Action,33372606,23000000,93,Michael Fassbender,114,M,Ewan McGregor,141,M,Gina Carano,319,F,Channing Tatum,534,M,Michael Douglas,1228,M,Antonio Banderas,1686,M
Moms' Night Out (2014),Andrew (II) Erwin,5.4,10671,2014,Comedy,10429707,5000000,98,Sean Astin,1585,M,Patricia Heaton,1718,F,Lou Ferrigno,3051,M,Abbie Cobb,3664,F,Sammi Hanratty,4089,F,Harry Shum Jr.,4392,M
The Devil's Rejects (2005),Rob Zombie,6.9,77673,2005,Crime,19390029,7000000,109,Sheri Moon Zombie,430,F,Tyler Mane,436,M,Danny Trejo,851,M,P.J. Soles,1114,F,Elizabeth Daily,1327,F,Kane Hodder,1629,M
Excess Baggage (1997),Marco (I) Brambilla,5.2,10999,1997,Action,14327206,20000000,101,Alicia Silverstone,552,F,Benicio Del Toro,881,M,Christopher Walken,1128,M,Harry Connick Jr.,2460,M,Leland Orser,4837,M,Callum Keith Rennie,4953,M
Sid and Nancy (1986),Alex (I) Cox,7.1,23693,1986,Biography,2826523,4000000,110,Gary Oldman,429,M,Xander Berkeley,2484,M,Courtney Love,4164,F,Iggy Pop,5458,M,Miguel Sandoval,7262,M,Slash,8085,M
The Other Woman (2014),Nick Cassavetes,6,106699,2014,Comedy,196781193,40000000,109,Nikolaj Coster-Waldau,677,M,Cameron Diaz,736,F,Taylor Kinney,1280,M,Kate Upton,2390,F,Don Johnson,3105,M,Nicki Minaj,3352,F
Stuck on You (2003),Bobby Farrelly,5.8,44942,2003,Comedy,33828318,55000000,118,Bella Thorne,149,F,Matt Damon,268,M,Doug Jones,426,M,Meryl Streep,578,F,Rhona Mitra,618,F,Eva Mendes,1211,F
National Treasure (2004),Jon Turteltaub,6.9,257886,2004,Action,347451894,100000000,131,Nicolas Cage,203,M,Diane Kruger,386,F,Sean Bean,1070,M,Jon Voight,1538,M,Christopher Plummer,1860,M,Harvey Keitel,2244,M
Zoom (2006),Peter (I) Hewitt,4.2,15248,2006,Action,11631245,35000000,93,Alexis Bledel,74,F,Courteney Cox,673,F,Michael Cassidy,1429,M,Kevin Zegers,1501,M,Tim Allen,1846,M,Chevy Chase,1931,M
The New Guy (2002),Ed Decter,5.9,29049,2002,Comedy,28972187,13000000,92,Zooey Deschanel,372,F,Eliza Dushku,443,F,DJ Qualls,1423,M,Jerry O'Connell,2002,M,Henry Rollins,3660,M,Sunny Mabrey,4039,F
The Long Weekend (2005),Pat (I) Holden,5.3,7026,2005,Comedy,95327,4000000,85,Cobie Smulders,41,F,Evangeline Lilly,378,F,Erica Cerra,535,F,Chelan Simmons,1121,F,John DeSantis,1825,M,Brendan Fehr,1936,M
Animal Kingdom (2010),David Michôd,7.3,46296,2010,Crime,7199608,5000000,113,Joel Edgerton,392,M,Ben Mendelsohn,1077,M,Guy Pearce,1375,M,Sullivan Stapleton,1385,M,Josh Helman,3035,M,James Frecheville,5333,M
Ticker (2001),Albert Pyun,3.5,5864,2001,Action,479510,7000000,92,Jaime Pressly,548,F,Steven Seagal,871,M,Tom Sizemore,2475,M,Dennis Hopper,3103,M,Ice-T,4508,M,Romany Malco,5786,M
Harry Potter and the Half-Blood Prince (2009),David (II) Yates,7.5,329046,2009,Adventure,934416487,250000000,153,Natalia Tena,69,F,Helena Bonham Carter,180,F,Daniel Radcliffe,214,M,Tom Felton,223,M,Alan Rickman,591,M,Alfred Enoch,936,M
Feast (2005),John Gulager,6.4,25826,2005,Action,54556,3200000,87,Eric Dane,1535,M,Krista Allen,1664,F,Jason Mewes,2796,M,Josh Zuckerman,3621,M,Henry Rollins,3660,M,Clu Gulager,5074,M
Marci X (2003),Richard (I) Benjamin,2.8,4550,2003,Comedy,1646664,20000000,80,Christine Baranski,1148,F,Erik LaRay Harvey,1202,M,Lisa Kudrow,1324,F,Damon Wayans,2125,M,Jane Krakowski,2142,F,Matthew Morrison,2812,M
The Grudge 2 (2006),Takashi (I) Shimizu,5,39261,2006,Horror,70711175,20000000,137,Sarah Michelle Gellar,424,F,Arielle Kebbel,445,F,Jenna Dewan Tatum,550,F,Amber Tamblyn,1262,F,Jennifer Beals,2024,F,Shaun Sipos,2447,M
Prefontaine (1997),Steve (II) James,6.8,5808,1997,Biography,532190,8000000,106,Jared Leto,98,M,Ed O'Neill,1412,M,Eric Johnson,3181,M,Breckin Meyer,3755,M,R. Lee Ermey,3931,M,Kurtwood Smith,4069,M
Made of Honor (2008),Paul Weiland,5.8,55147,2008,Comedy,105962760,40000000,101,Michelle Monaghan,364,F,Patrick Dempsey,803,M,Kevin McKidd,1181,M,Busy Philipps,1606,F,Chris Messina,2651,M,Beau Garrett,2980,F
I Could Never Be Your Woman (2007),Amy Heckerling,6.1,14517,2007,Comedy,9569470,24000000,97,Saoirse Ronan,330,F,Michelle Pfeiffer,485,F,Paul Rudd,579,M,Archie Panjabi,903,F,Henry Winkler,1003,M,Olivia Colman,2884,F
Million Dollar Arm (2014),Craig (I) Gillespie,7,36471,2014,Biography,39955572,25000000,124,Jon Hamm,559,M,Bar Paly,925,F,Lake Bell,1138,F,Bill Paxton,2225,M,Alan Arkin,4606,M,Joshua Mikel,5336,M
The Pink Panther (2006),Shawn (I) Levy,5.6,66427,2006,Adventure,158851357,65000000,93,Jason Statham,288,M,Scott Adkins,589,M,Steve Martin,1225,M,Kevin Kline,1473,M,Clive Owen,1495,M,Kristin Chenoweth,1596,F
Zootopia (2016),Jared Bush,8.1,215467,2016,Adventure,1023577507,150000000,108,Idris Elba,104,M,Ginnifer Goodwin,273,F,Jenny Slate,459,F,J.K. Simmons,810,M,Jason Bateman,865,M,Alan Tudyk,1256,M
To Kill a King (2003),Mike (I) Barker,6.2,2572,2003,Biography,96232,14300000,102,Benedict Cumberbatch,6,M,Tim Roth,1527,M,Rupert Everett,1555,M,Dougray Scott,3315,M,Jeremy Swift,6064,M,Julian Rhind-Tutt,6073,M
Ferris Bueller's Day Off (1986),John (I) Hughes,7.8,248009,1986,Comedy,70136369,6000000,103,Mia Sara,592,F,Kristy Swanson,887,F,Charlie Sheen,995,M,Jennifer Grey,1011,F,Matthew Broderick,1713,M,Alan Ruck,2193,M
Holy Man (1998),Stephen Herek,4.9,16456,1998,Comedy,12065985,60000000,114,Eddie Murphy,721,M,Kelly Preston,1203,F,Jeff Goldblum,1376,M,Morgan Fairchild,2248,F,Robert Loggia,2695,M,Jon Cryer,2935,M
Scream 3 (2000),Wes Craven,5.5,100105,2000,Horror,161830000,40000000,116,Neve Campbell,544,F,Courteney Cox,673,F,Parker Posey,796,F,Patrick Dempsey,803,M,Liev Schreiber,879,M,Matthew Lillard,1129,M
That's Entertainment! III (1994),Bud Friedgen,7.6,1113,1994,Documentary,274794,2500000,113,Marilyn Monroe,1210,F,Judy Garland,1884,F,Angela Lansbury,1905,F,Leslie Caron,2252,F,Katharine Hepburn,2807,F,Lucille Ball,3174,F
A Smile Like Yours (1997),Keith Samples,4.8,1172,1997,Comedy,3247524,18000000,98,Joan Cusack,519,F,Lauren Holly,1239,F,Shirley MacLaine,2890,F,Greg Kinnear,3244,M,Jill Hennessy,4244,F,Christopher McDonald,4682,M
Edwin Boyd (2011),Nathan Morlando,6.2,3690,2011,Crime,625,5000000,105,Kevin Durand,873,M,Scott Speedman,1807,M,Brian Cox,2210,M,Melanie Scrofano,4602,F,Brendan Fletcher,5506,M,William Mapother,6540,M
The Fabulous Baker Boys (1989),Steve Kloves,6.8,17954,1989,Drama,16823529,13000000,110,Michelle Pfeiffer,485,F,Jennifer Tilly,840,F,Jeff Bridges,1089,M,Xander Berkeley,2484,M,Greg Finley,2717,M,Beau Bridges,5017,M
The Unbelievable Truth (1989),Hal Hartley,7.5,3598,1989,Comedy,546541,75000,90,Edie Falco,3465,F,Robert John Burke,3800,M,Adrienne Shelly,7249,F,Kelly Reichardt,7390,F,Paul Schulze,8150,M,Bill Sage,9759,M
Serial Mom (1994),John (I) Waters,6.7,21471,1994,Comedy,7881335,13000000,95,Matthew Lillard,1129,M,Traci Lords,1607,F,Bess Armstrong,3453,F,Sam Waterston,4588,M,Suzanne Somers,4620,F,Ricki Lake,5322,F
Anonymous (2011/I),Roland Emmerich,6.9,34848,2011,Drama,15395087,30000000,130,Mark Rylance,407,M,Jamie Campbell Bower,1277,M,Rafe Spall,1941,M,David Thewlis,1949,M,Joely Richardson,2076,F,Rhys Ifans,2094,M
Mad Max: Fury Road (2015),George (II) Miller,8.1,577454,2015,Action,378436354,150000000,120,Tom Hardy,15,M,Charlize Theron,253,F,Nicholas Hoult,388,M,Riley Keough,639,F,Abbey Lee,1020,F,Rosie Huntington-Whiteley,1062,F
Men Don't Leave (1990),Paul (I) Brickman,6.7,1993,1990,Drama,6070725,7000000,115,Joan Cusack,519,F,Chris O'Donnell,2103,M,Jesse James,4350,M,Kevin Corrigan,4573,M,Constance Shulman,6301,F,Charlie Korsmo,6403,M
Sherlock Holmes (2009),Guy Ritchie,7.6,484134,2009,Action,524028679,90000000,128,Rachel McAdams,9,F,Robert Downey Jr.,290,M,Jude Law,479,M,Mark Strong,1139,M,Eddie Marsan,2659,M,Ned Dennehy,4702,M
Brooklyn (2015),John (III) Crowley,7.5,82279,2015,Drama,38317535,11000000,117,Emily Bett Rickards,261,F,Saoirse Ronan,330,F,Domhnall Gleeson,335,M,Emory Cohen,2573,M,Jim Broadbent,2938,M,Nora-Jane Noone,4509,F
Ghost Rider: Spirit of Vengeance (2011),Mark Neveldine,4.3,89204,2011,Action,149217355,57000000,96,Idris Elba,104,M,Nicolas Cage,203,M,Johnny Whitworth,2163,M,Christopher Lambert,2830,M,Violante Placido,4208,F,Anthony Head,4400,M
Nanny McPhee (2005),Kirk (III) Jones,6.6,50782,2005,Comedy,122489822,25000000,97,Colin Firth,755,M,Thomas Brodie-Sangster,1246,M,Angela Lansbury,1905,F,Imelda Staunton,3489,F,Celia Imrie,3584,F,Eliza Bennett,4194,F
Tomorrowland (2015),Brad (I) Bird,6.5,132706,2015,Action,209154322,190000000,130,Britt Robertson,197,F,Kathryn Hahn,279,F,George Clooney,682,M,Hugh Laurie,888,M,Judy Greer,1242,F,Tim McGraw,1837,M
A Civil Action (1998),Steven Zaillian,6.5,23527,1998,Drama,56702901,75000000,115,John Travolta,644,M,John Lithgow,872,M,William H. Macy,1016,M,Edward Herrmann,1443,M,Bryan Greenberg,1616,M,Robert Duvall,1985,M
Byzantium (2012),Neil (I) Jordan,6.5,32770,2012,Drama,84293,8000000,118,Gemma Arterton,274,F,Saoirse Ronan,330,F,Jonny Lee Miller,390,M,Sam Riley,837,M,Kate Ashfield,2738,F,Christine Marzano,3032,F
Dawn of the Planet of the Apes (2014),Matt (I) Reeves,7.6,323512,2014,Action,710644566,170000000,130,Toby Kebbell,339,M,Gary Oldman,429,M,Kodi Smit-McPhee,788,M,Keri Russell,885,F,Judy Greer,1242,F,Andy Serkis,2141,M
Species (1995),Roger Donaldson,5.8,61920,1995,Action,113374103,35000000,108,Natasha Henstridge,1271,F,Ben Kingsley,1701,M,Forest Whitaker,1800,M,Michael Madsen,2536,M,Alfred Molina,3023,M,Frank Welker,4150,M
War Inc. (2008),Joshua Seftel,5.7,20097,2008,Action,580862,10000000,107,Joan Cusack,519,F,John Cusack,619,M,Marisa Tomei,734,F,Hilary Duff,870,F,Dan Aykroyd,1699,M,Ben Kingsley,1701,M
Babe: Pig in the City (1998),George (II) Miller,5.8,25232,1998,Adventure,69131860,80000000,97,Naomi Watts,423,F,Hugo Weaving,868,M,Steve Martin,1225,M,Elizabeth Daily,1327,F,James Cromwell,1645,M,Adam Goldberg,2169,M
Scary Movie 5 (2013),Malcolm D. Lee,3.5,51116,2013,Comedy,78378744,20000000,88,Sarah Hyland,325,F,Lindsay Lohan,508,F,Charlie Sheen,995,M,Ashley Tisdale,1053,F,Katrina Bowden,1662,F,Heather Locklear,1877,F
The Guru (2002),Daisy von Scherler Mayer,5.4,13685,2002,Comedy,20737147,11000000,94,Marisa Tomei,734,F,Christine Baranski,1148,F,Bobby Cannavale,2042,M,Michael McKean,3815,M,Dash Mihok,4530,M,Sakina Jaffrey,4608,F
The Salton Sea (2002),D.J. Caruso,7.2,26935,2002,Crime,764554,18000000,103,Val Kilmer,132,M,Vincent D'Onofrio,776,M,Danny Trejo,851,M,Peter Sarsgaard,1293,M,Adam Goldberg,2169,M,BD Wong,2577,M
Lady in the Water (2006),M. Night Shyamalan,5.6,79491,2006,Drama,42285169,70000000,110,Bryce Dallas Howard,13,F,Doug Jones,426,M,M. Night Shyamalan,517,M,Jared Harris,675,M,Jeffrey Wright,739,M,Paul Giamatti,2079,M
Broken Vessels (1998),Scott Ziehl,6.6,536,1998,Drama,13493,600000,90,Jason London,2607,M,John Hughes,3109,M,James Hong,3161,M,Ron Jeremy,4295,M,William Smith,5339,M,Patrick Cranshaw,7093,M
The Rugrats Movie (1998),Igor Kovalyov,5.9,14218,1998,Adventure,140894675,24000000,83,Tim Curry,85,M,Elizabeth Daily,1327,F,David Spade,2143,M,Whoopi Goldberg,2416,F,Tara Strong,3197,F,Frank Welker,4150,M
Snow Cake (2006),Marc (I) Evans,7.6,10925,2006,Drama,26014,3000000,112,Carrie-Anne Moss,311,F,Sigourney Weaver,580,F,Alan Rickman,591,M,Emily Hampshire,2425,F,Jayne Eastwood,3160,F,Mark McKinney,3885,M
In the Mouth of Madness (1994),John (I) Carpenter,7.2,44215,1994,Fantasy,8946600,8000000,95,Hayden Christensen,370,M,Sam Neill,1192,M,Kevin Zegers,1501,M,Charlton Heston,3006,M,David Warner,3558,M,John Glover,5409,M
The Pallbearer (1996),Matt (I) Reeves,4.9,6177,1996,Comedy,5656388,8000000,98,Toni Collette,213,F,David Schwimmer,263,M,Gwyneth Paltrow,1150,F,Barbara Hershey,1875,F,Michael Rapaport,2492,M,Michael Vartan,3149,M
Ant-Man (2015),Peyton (I) Reed,7.4,331047,2015,Action,519445163,130000000,117,Hayley Atwell,65,F,Chris Evans,237,M,Sebastian Stan,355,M,Evangeline Lilly,378,F,Paul Rudd,579,M,Michael Douglas,1228,M
Confessions of a Teenage Drama Queen (2004),Sara Sugarman,4.6,23632,2004,Comedy,33051296,15000000,89,Lindsay Lohan,508,F,Alison Pill,1712,F,Adam Garcia,3100,M,Glenne Headly,3317,F,Ashley Leggat,6172,F,Eli Marienthal,7415,M
Invincible (2006),Ericson Core,7.1,52289,2006,Biography,57789574,40000000,105,Mark Wahlberg,398,M,Paige Turco,2018,F,Michael Kelly,2331,M,Greg Kinnear,3244,M,Kirk Acevedo,4856,M,Michael Rispoli,7661,M
Batman (1989),Tim (I) Burton,7.6,273370,1989,Action,411348924,48000000,126,Jack Nicholson,468,M,Michael Keaton,740,M,Kim Basinger,923,F,Michael Gough,3568,M,Robert Wuhl,4247,M,Billy Dee Williams,4277,M
I'm Gonna Git You Sucka (1988),Keenen Ivory Wayans,6.5,9965,1988,Action,13030057,3000000,88,Damon Wayans,2125,M,Ariana Richards,2591,F,Marlon Wayans,2697,M,Peggy Lipton,2959,F,Chris Rock,4182,M,Clu Gulager,5074,M
Deuce Bigalow: Male Gigolo (1999),Mike (VI) Mitchell,5.7,60070,1999,Comedy,92938755,17000000,88,Adam Sandler,400,M,Amy Poehler,1275,F,Rob Schneider,1691,M,Oded Fehr,2015,M,Bree Turner,2832,F,Gail O'Grady,3364,F
Squanto: A Warrior's Tale (1994),Xavier (I) Koller,6.1,894,1994,Adventure,3337685,19200000,102,Michael Gambon,1352,M,Mandy Patinkin,1722,M,Adam Beach,4253,M,Mark Margolis,4900,M,Julian Richings,5556,M,Nathaniel Parker,5641,M
EuroTrip (2004),Alec (I) Berg,6.6,163956,2004,Comedy,17718223,25000000,93,Matt Damon,268,M,Lucy Lawless,493,F,Michelle Trachtenberg,772,F,Kristin Kreuk,1048,F,Diedrich Bader,1618,M,Vinnie Jones,2315,M
Surviving the Game (1994),Ernest R. Dickerson,6.1,8416,1994,Action,7690013,7400000,96,John C. McGinley,599,M,Rutger Hauer,2338,M,Gary Busey,3162,M,F. Murray Abraham,3937,M,Ice-T,4508,M,William McNamara,8802,M
Trust the Man (2005),Bart Freundlich,5.7,7863,2005,Comedy,1530535,9000000,103,Sterling K. Brown,728,M,Julianne Moore,818,F,Eva Mendes,1211,F,Maggie Gyllenhaal,1282,F,Ellen Barkin,1364,F,Billy Crudup,1374,M
Bill & Ted's Excellent Adventure (1989),Stephen Herek,6.9,86470,1989,Adventure,40485039,10000000,90,Keanu Reeves,169,M,Alex Winter,2853,M,Marjean Holden,4271,F,Diane Franklin,5952,F,George Carlin,7544,M,Jane Wiedlin,9962,F
Compliance (2012),Craig Zobel,6.4,25043,2012,Biography,318622,270000,90,Dreama Walker,3487,F,Bill Camp,5270,M,Ann Dowd,6816,F,Matt Servitto,7110,M,Pat Healy,7577,M,Desmin Borges,9170,M
Takers (2010),John Luessenhop,6.2,47519,2010,Action,69055695,20000000,107,Idris Elba,104,M,Zoe Saldana,121,F,Hayden Christensen,370,M,Jay Hernandez,383,M,Zulay Henao,1245,F,Paul Walker,1286,M
Bandits (2001),Barry (I) Levinson,6.6,57500,2001,Comedy,67631903,75000000,123,Bruce Willis,377,M,Billy Bob Thornton,433,M,Cate Blanchett,480,F,Richard Riehle,5610,M,Azura Skye,5739,F,Troy Garity,7364,M
Tammy (2014),Ben (I) Falcone,4.9,37090,2014,Comedy,100375432,20000000,100,Toni Collette,213,F,Melissa McCarthy,241,F,Susan Sarandon,524,F,Allison Janney,862,F,Dan Aykroyd,1699,M,Mark Duplass,2003,M
Death Wish 4: The Crackdown (1987),J. Lee Thompson,5.3,6191,1987,Action,6880310,5000000,99,Charles Bronson,211,M,Danny Trejo,851,M,Mark Pellegrino,2364,M,Dana Barron,4412,F,Mitch Pileggi,5727,M,John P. Ryan,6880,M
Seven Psychopaths (2012),Martin McDonagh,7.2,188872,2012,Comedy,19422261,15000000,110,Sam Rockwell,323,M,Colin Farrell,427,M,Olga Kurylenko,537,F,Woody Harrelson,943,M,Michael Stuhlbarg,1023,M,Christopher Walken,1128,M
You Can Count on Me (2000),Kenneth Lonergan,7.7,22434,2000,Drama,9180275,1200000,111,Mark Ruffalo,817,M,Laura Linney,986,F,Matthew Broderick,1713,M,Rory Culkin,1856,M,Josh Lucas,1968,M,Kenneth Lonergan,3476,M
The Last Song (2010),Julie Anne Robinson,5.8,63171,2010,Drama,92678948,20000000,107,Carly Chaikin,346,F,Liam Hemsworth,594,M,Miley Cyrus,1143,F,Kelly Preston,1203,F,Greg Kinnear,3244,M,Melissa Ordway,8367,F
A Christmas Carol (2009),Robert Zemeckis,6.8,74012,2009,Animation,325286646,200000000,96,Jim Carrey,406,M,Gary Oldman,429,M,Colin Firth,755,M,Cary Elwes,1002,M,Molly C. Quinn,1947,F,Daryl Sabara,2461,M
Starship Troopers 3: Marauder (2008),Edward Neumeier,4.3,19634,2008,Action,44573970,9000000,105,Jolene Blalock,841,F,Casper Van Dien,1898,M,Boris Kodjoe,3182,M,Marnette Patterson,4480,F,Catherine Oxenberg,6373,F,Amanda Donohoe,6840,F
Cutthroat Island (1995),Renny Harlin,5.6,21393,1995,Action,10017322,98000000,124,Geena Davis,502,F,Matthew Modine,1378,M,Frank Langella,3281,M,Christopher Masterson,3421,M,Stan Shaw,6197,M,Harris Yulin,6474,M
Sin City: A Dame to Kill For (2014),Frank (II) Miller,6.5,114796,2014,Action,39407616,65000000,102,Lady Gaga,291,F,Joseph Gordon-Levitt,342,M,Rosario Dawson,354,F,Bruce Willis,377,M,Juno Temple,561,F,Jaime King,564,F
The Meteor Man (1993),Robert (I) Townsend,5,5325,1993,Action,8023147,30000000,100,James Earl Jones,2020,M,Chris Tucker,2291,M,Wallace Shawn,3050,M,Don Cheadle,3116,M,Tommy 'Tiny' Lister,4521,M,Sinbad,4934,M
Home Alone 3 (1997),Raja Gosnell,4.3,76627,1997,Comedy,79082515,32000000,102,Scarlett Johansson,89,F,Neil Flynn,3404,M,Rya Kihlstedt,6700,F,Haviland Morris,6875,F,Pat Healy,7577,M,Alex D. Linz,8212,M
Finishing the Game: The Search for a New Bruce Lee (2007),Justin (II) Lin,6.2,1660,2007,Comedy,52850,500000,84,Bella Thorne,149,F,James Franco,192,M,Cassidy Freeman,1728,F,Leonardo Nam,2064,M,Brian Tee,2799,M,Sung Kang,4289,M
Outside Providence (1999),Michael Corrente,6.4,7791,1999,Comedy,7292175,7000000,96,Amy Smart,832,F,Jonathan Brandis,1007,M,Alec Baldwin,1207,M,Richard Jenkins,3872,M,Shawn Hatosy,4033,M,Jon Abrahams,4801,M
Delgo (2008),Marc F. Adler,4.4,2487,2008,Adventure,511920,40000000,94,Val Kilmer,132,M,Melissa McBride,257,F,Jennifer Love Hewitt,357,F,Freddie Prinze Jr.,1305,M,Malcolm McDowell,1548,M,Michael Clarke Duncan,1632,M
Larry Crowne (2011),Tom Hanks,6.1,50153,2011,Comedy,72008245,30000000,98,Tom Hanks,68,M,Gugu Mbatha-Raw,90,F,Bryan Cranston,182,M,Rami Malek,309,M,Grace Gummer,389,F,Wilmer Valderrama,1068,M
Life or Something Like It (2002),Stephen Herek,5.8,19645,2002,Comedy,16873000,40000000,105,Angelina Jolie,210,F,Stockard Channing,2242,F,Amanda Tapping,2420,F,Christian Kane,2539,M,Edward Burns,3650,M,Tony Shalhoub,3832,M
For a Good Time Call... (2012),Jamie (I) Travis,6,13622,2012,Comedy,1243961,850000,88,Sugar Lyn Beard,307,F,Seth Rogen,603,M,Mark Webber,1149,M,Kevin Smith,1397,M,Justin Long,1447,M,Martha MacIsaac,2337,F
Robots (2005),Carlos (I) Saldanha,6.3,104755,2005,Adventure,260718330,75000000,91,Ewan McGregor,141,M,Robin Williams,795,M,Halle Berry,966,F,Natasha Lyonne,1347,F,Stanley Tucci,1523,M,Amanda Bynes,1557,F
The Wackness (2008),Jonathan (II) Levine,7,27463,2008,Comedy,2899975,6000000,99,Famke Janssen,304,F,Olivia Thirlby,366,F,Ben Kingsley,1701,M,Mary-Kate Olsen,1776,F,Josh Peck,2459,M,Talia Balsam,2993,F
A Scanner Darkly (2006),Richard Linklater,7.1,90485,2006,Animation,7659918,8700000,100,Winona Ryder,30,F,Keanu Reeves,169,M,Robert Downey Jr.,290,M,Woody Harrelson,943,M,Rory Cochrane,1844,M,Jason Douglas,7615,M
Deal (2008/I),Gil Cates Jr.,5.4,4007,2008,Drama,57180,5000000,86,Jennifer Tilly,840,F,Burt Reynolds,1809,M,Bret Harrison,4971,M,Charles Durning,7017,M,Lyle Brocato,9513,M,J.D. Evermore,9533,M
Mulholland Falls (1996),Lee Tamahori,6.2,13031,1996,Crime,11500000,29000000,107,Jennifer Connelly,229,F,Rob Lowe,880,M,Kyle Chandler,1306,M,Andrew McCarthy,1508,M,John Malkovich,1861,M,Chris Penn,2074,M
The World Is Not Enough (1999),Michael Apted,6.4,158992,1999,Action,361832400,135000000,160,Robert Carlyle,397,M,Pierce Brosnan,752,M,Sophie Marceau,2102,F,Judi Dench,2282,F,Robbie Coltrane,2295,M,John Cleese,3290,M
